ID	LOC	NAME	URL	TITLE	DESC
133	E13/E14	Pete Cooper		New Accessories for IBM PS/1 computers and general vintage computing sales as well.	I will have internal WiFi modems for the PS/1 as well as power adapters to allow them to be used without the original monitor. I will also have other vintage computing items for sale
134	S17	Chip Black		ACT Apricot Xi and Amiga bits and bobs	Showing off the rare ACT Apricot as well as my own Amiga video and mouse solutions.
136	G22/G23/G24	Commodore Z and Katherine	https://www.commodorez.com	Start Me Up: 30 years of Windows 95	"30 years ago, Microsoft introduced Windows 95 and set the standard for graphical user interfaces that is still in use today. We will be displaying all major versions of 95, from one of the Chicago Beta releases, through the final update from 1997, on a wide variety of hardware from a number of prominent manufacturers. Come experience what made Windows 95 a household name, play some games, and see what made computing accessible and easy for everyone."
137	F05	Carl Miles		Timex/Sinclair Home Computers	Exhibiting vintage Timex/Sinclair original and prototype computers along with modern redesigns and clones.
139	R06/R07	BitBinders	http://bitbinders.com	Commodore accessories with style and sophistication	"Commodore 1581 replIca single and dual drives, power supplies, keyboards and other innovative accessories"
140	I14	SE Michigan Vintage Computer Club	https://www.facebook.com/semichiganvcc	SE Michigan Vintage Computer Club	Vintage and retro computer club based in Southeast Michigan
141	T20/T21	Chris and Gavin Tersteeg		6502's for You	"Some early 6502 fun with the Altair 680 and SYM-1. A return of the Ferguson Big Board now joined by his Xerox 820 brother. And as usual lots of custom PCB projects, including new Apple II and Atari 8-bit FujiNet models."
142	B09/B10/B11/B12	Sierra Back On-Line & I Like Big Boxes and I Cannot Lie	N/A	"Sierra Back On-Line - EVERYTHING Sierra //// I Like Big Boxes and I Cannot Lie - Nothing but factory boxed Software, Hardware, Peripherals."	"Sierra Back On-Line - A plethora of 8086 - Pentium machines running all the Sierra classics as well as displays for Sierra related magazines, literature, etc. Come by and play some of your favorite games. Stuff for sale, and game play prizes!I Like Big Boxes and I Cannot Lie - We're suckers for boxed vintage Computers, Peripherals, and Software. Take a trip down memory lane and possibly take it home with you. Primarily PC focused, but some 8bit systems items as well."
143	G04	Nevets01		Cheese Car Systems Nova Zone	PDP11-controlled industrial robot arm programmed to manipulate an Altair front panel
144	U06	Chicago Gamespace	https://www.chicagogamespace.com/	Chicago Gamespace print collection	"Admire artwork from classic Sierra games, editioned prints by acclaimed Prince of Persia artist Jordan Mechner, and PC game fan art by Jim Ferguson along with other game-related art and books."
145	I15/I16/I17/I18	8bitdevices	8bitdevices.com	"Modern devices for vintage computing. 8-bit packet radio project. Apple, Atari, C64, TRS-80"	"Modern devices Apple, Atari, TRS-80, C-64, and other various vintage computers. Live HAM radio packet communications demo using 80's vintage hardware."
146	I13	Sloopy X. Malibu		Digital Glass Tech services- upgrades and repair	Upgrade and repair 8bit computers of all makes
147	T18/T19	Adwater and Stir	Adwaterandstir.com	Historic Computer Kits	"We create kits to build replicas of historic computers, including the Altar 8800 and Kenbak-1. Also see a demonstration of creating and loading Altair BASIC 1.0 on paper tape, celebrating its 50th anniversary."
148	U12/U13	Midwest Gaming Classic & JJGames	https://jjgames.com	New and Used home console video games and accessories.	"JJGames, part of the Midwest Gaming Classic family, sells retro home game consoles, accessories and games, as well as new releases for retro consoles through the Midwest Gaming Classic Show Edition program. "
151	L04/L05	LGR	https://www.youtube.com/@LGR	LGR Things	"Exhibiting various computers and vintage oddities as seen on the LGR YouTube channel. Also selling related merch, doing selfies and signing stuff, generally hanging out as an online person in-person."
152	R10/R11	Commodoreman		1541 power supply replacement & C= Plus/4	Update the old hot power supply on the 1541 with a new PS unit. Runs much cooler and weighs less! Also a simple exhibit of a Commodore Plus/4 (and how to fix a broken keycap!).
153	T10	COCOMAN/Fairly Amused	cocoman.biz & fairlyamused.com	COCOMAN's demos and sales	"Tandy CoCo goodies , Apple IIgs video cables, and other retro goodies!"
154	B03/B04/B05	"Aaron A. Collins, N9OZB"		Misc 70-90's audio-visual stuff	"Misc 70-90's audio visual stuff, misc test equipment, vintage computers."
156	E19/E20	Joshua S Conboy		OS/2 a Warped Perspective	All things OS/2. The operating System that coulda should been.
157	J20/J21/J22	"Connor K., Dan F., Ian P., John C."		IBM Desk XX Prototype	The IBM Desk XX was a prototype 486 SX PC from 1992~ that was designed for OEM use that never made it to market!With a 486DX2 in the upgrade slot and an included cache card it flies under most software of the era. Come by and see a forgotten piece of IBM's history!
158	L03	Steve Lewis (Xiphod / voidstar tech)		Domesticating the Computer	"Info about poster and video that summarizes how the personal computer came to be. Come ponder the irony of how ""cloud computing"" is now migrating back to the era of leased computers that the Computer Lib movement strived to get away from."
159	R04	Dan Sanderson	https://dansanderson.com/mega65/	MEGA65	"The MEGA65 is a modern recreation of the Commodore 65, the 8-bit computer Commodore designed but never released. Based on an FPGA, the MEGA65 can recreate multiple Commodore computers at the chipset level, with an authentic injection molded case and Commodore-layout mechanical keyboard. Come try out the MEGA65 for yourself, meet MEGA65 core contributor Dan Sanderson, and see what this project has to offer. Order your MEGA65 today! https://mega65.org/"
160	F03/F04	Power of Vintage	https://www.youtube.com/@powerofvintage9442	Atari Home Computers 8-bit to the end	Atari home computers including the various 8-bit variations through the 16-bit ST's to the TT and Falcon.
161	P01/P22	8-Bit Classics	https://8bitclassics.com	8-Bit Classics Vendor Booth	8-Bit Classics has been selling to and supporting the retro computer scene since 1999!
162	S16	Craig Buchanan		Dungeon Plunder	"What do the Mattel Aquarius, Trs-80, MSX, and Nabu have in common?"
163	E11/E12	Chris Roth		Early Home and School computing in the UK	"An exhibit of microcomputers used in the home and school in the early to mid 1980's UK, featuring the BBC Micro, ZX Spectrum, and potentially a few others!"
164	A15/A16/A17/A18/A19	Bonus Life Computers	www.bonuslifecomputers.com	"Everything Commodore, Atari, Apple, TRS-80, Next, Altair and Other!"	"Vintage computer sales and service for Atari, Commodore, TRS-80, Apple, TI, Altair, IMSAI, Next and whatever else you can think of."
167	C21/C22	Leviathan Enterprises / Select Arcade		Retro Tech	"Retro Computer, Tech, Arcade and Toys"
168	Z08/Z09	Daniel Poarch		Vintage Macs and Parts	"Selling the majority of my vintage Mac collection. Mostly 90s Beige 68k/PPC, some Intel."
169	L08/L09	Dave’s Retro Video Lab	https://youtube.com/@davesretrovideolab2709?si=e_mErkZUV0gXgwex	Sony F65 Digital Cinema Camera Production Workflow	Join Dave as he breaks down the full production workflow of the Sony F65 digital cinema camera — from recording to editing on a Power Mac. See how this powerhouse setup was used to cut feature films in the digital age.
170	L02	The 8-Bit Guy	www.the8bitguy.com	"Signing autographs, selfies, and selling of merch."	"The 8-Bit Guy will be there signing autographs, taking selfies, selling copies of Petscii Robots, and other merch."
171	N03/N04	Atari Guy		Atari and other Hardware and software for sale	Vintage Atari hardware and software for sale
172	F07	Greenie		Misc C64 plus Timex stuff	With the Timex group but have some C64 stuff to sell.
173	B01/B20/B21/B22	Digital Thrift		Computer and gaming stuffs!	General assortment of computer items and vintage/retro computer and console gaming.
174	K03/K04	NK Tech Fix		NK Tech Fix Vintage Marketplace	All manner of vintage computing for sale at haggle-friendly prices. Make my cool junk YOUR cool junk!
175	F17	NCS - Neil's Computer Service		Showcasing Tandy Computers	Showing off some Tandy computers along with a mixture of vintage computer sales.
176	N16/N17	Suburban Chicago Atarians (SCAT)	http://www.scatarians.org/	Fun Atari Computers and Rarities	"SCAT has been suburban Chicago's Atari computer users group since 1981! Come see some great exhibits by our members, including an Atari Video Music and a Spectravideo CompuMate!"
177	R19/R20	David Haynes	https://commodore.bombjack.org	Commodore / Amiga & GTE ExecSet Demo	"Mega 65 Computer, Amiga 500, NES and SNES demo. GTE Exec Set PC. Replacing HD with USB/CF"
178	J15	Bill Staples		You don't see these everyday	"Up for purchase are IBM 3545 docks, Heathkit Hero programmable robots, Ferrari and Lamborghini laptops, working pxl2000 cameras, PDA/Pocket pc's, luggables and more."
181	F13	Peter Balint		Vintage PC parts	Vintage PC parts
182	T02	Dave Runkle	www.astrorat.com	"Home Computer of the 70's. H8, COSMAC Elf, Altair 8800"	"Home Computer of the 70's. H8, COSMAC Elf, Altair 8800"
183	K07	SpecFive	www.specfive.com	Off-grid Mesh Radios	"Spec5 products are rugged, off-grid communication devices that use LoRa mesh networking to enable decentralized, secure messaging without cellular or Wi-Fi. Built for reliability in remote environments, they integrate with platforms like Meshtastic and ATAK for real-time location sharing and team coordination."
184	V*	Dwayne	Build-a-Blinkie.org	Build-a-Blinkie Learn-to-Solder workshop	"Build-a-Blinkie is a 501(c)3 organization started by engineers, dedicated to the teaching of STEAM (Science, Technology, Engineering, Art, Mathematics). We run learn-to-solder events all across the Great Lakes area. We are roughly 30 volunteers running soldering  workshops at over 25 events a year. Over the last 20 years, we have helped people of all ages make over 35,000 kits. With 120 soldering stations, we have the world’s largest number of mobile soldering stations and participate at numerous Maker Fairs, Libraries, Universities, Maker Spaces, and area conventions"
185	A06/A07/A08	Ecotech Computer Solutions		Retro Windows hardware & software	"Hardware, software & accessories with a focus on retro gaming."
186	D17	Jon Elson	https://picosysystems.store	VAX/VMS DEC	1980's Minicomputers
187	D15	e		DEC AlphaServers	"Get hands-on with a pair of pedestal-configuration minicomputers, made just before & after DEC was eaten by Compaq. An ES40 & a 2100, both running ""modern"" VSI OpenVMS."
188	G10/G11	Regret_the_Van		Divisive Dells	A totally non-biased look at Dell's most divisive computers: the clamshell desktop systems.
189	L21	Eric’s Edge	https://quackofdawn.com	Adventure! The Quack of Dawn	"""You should know better than to pick up a duck in a dungeon"" Welcome to The Quack of Dawn Adventure! The Quack of Dawn, is the latest Eric's Edge game, built in HyperCard. Adventure! will take you on a journey you'll never forget."
190	I10	BlueSCSI	https://bluescsi.com	"BlueSCSI Sales, Demos, and Medium archival"	We'll be showing off all the new features of BlueSCSI v2. We will offer SCSI drive archival in person if you have an old drive you want to image for free. Demos of BlueSCSI's in some awesome retro machines as well.
191	P09	Erik Olson		"9900: TI's ""First Family"""	"Besides the TI-99/4A, I show many TI products using a 9900 family CPU: minicomputer, PLC, even teletext. And then some home brew."
192	E21/E22	FreeGeek Chicago	https://www.freegeekchi.org	FreeGeek Chicago! Retro Systems and Donation center	FreeGeek Chicago. Saving tech from the landfill and refurbing anything and everything. We use the donations to help low income people get the tech they need to prosper in the world today. And we get to save some cool stuff in the process.
193	S03	Ethan Dicks		It Came From BYTE	"Computers, programs, and projects as seen in articles and ads in the pages of the first 10 years of BYTE Magazine (1975-1984)"
194	L17	Evan		Before VMs - Multi-OS Macintosh	A collection of 68k and early PowerPC Macs with CPU cards which allow them to run multiple operating systems. Additional instances of Mac OS as well as DOS/Windows all on one machine.
195	E10	Evan Wright	textadventure.net	Lantern Text Adventures	Lantern is a adventure game development system that allows you to export games to many 8-bit systems.
196	G13/G14	Evan Gildow (MxArgent)		System47 Small Systems Showcase	"Selling and exhibiting! A selection of machines, including the singularly spectacular Sandhill (a sophisticated S-100computers Stack)!"
197	F09/F10	David Anderson	timexsinclair.com	Timex/Sinclair Computers	Timex Sinclair computers and community designed hardware/software.
198	I23/I24	Matt Anderson		Cool retro and gaming	"Brining Exciting retro systems, NeXT, Macs, Amiga, retro consoles/games and anime"
199	G01/G02/G03	Forgotten Machines	http://ForgottenMachines.com	Rare Vintage Computer Systems Everyone Else Forgot	"The rare, the obscure, the unknown, all about computers that truly are...Forgotten Machines! We investigate, reverse-engineer, and restore computers and systems that almost nobody else knows about. We also do data-recovery on the oldest of magnetic media to preserve old operating systems and software!"
200	S11/S12	Frank Palazzolo and Evan Allen	Abzman2k.wordpress.com	"Pizza Time Theatre Computer, Homebrew software running on a Poly88 and a TRS-80"	"Restored Pizza Time Theatre Animatronics Control Computer. Cross-platform software running on a Poly88 and a TRS-80, showing off the similar graphics capabilities of both systems."
203	Z18/Z19	Wumpus Hunters	quarex.com	"One displays TI99 computers, one sells big box PC games. Two great tastes that have nothing to do with one another."	Ti99s and big box games
204	K13/K14	BitHistory.org	BitHistory.org	Surplus items from the BitHistory.org collection.	"I undetermined mix of various surplus items from the BitHistory.org collection. Likely systems, parts, books, and magnetic media."
205	R08/R09	RETRO Innovations	www.go4retro.com	"Classic Systems, Contemporary Gear"	Solutions to help you continue enjoying your classic systems in today's world
206	U02	Zap Coders	https://zap-coders.com/	Zap Coders’ brand new game for the gameboy color	Zap Coders’ new video game releasing this year for the gameboy color will be on display! Meet the lead creator and play the demo!
207	F15/F16	Malcom Ramey		Tandy/TRS-80	Tandy 2000/3000 and some Coco
208	P07/P08	Whistler		Quad Pentium Pro server with raid array with functioning FTP server with software	I'm setting up a functioning FTP server that I hope to use the local VCF internet to host fun files and games on
209	Z37/Z38/Z39	Hak4Kidz	https://www.hak4kidz.com	Hak4Kidz Soldering Lab – Hands-On Projects for All Ages	"Hak4Kidz offers soldering projects with a fun twist—interactive badges and playful circuits that add creativity and challenge, guided by friendly volunteers for kids and families. We are a 501(c)(3)."
210	U05	Melissa Barron // M-three-L Art	melissabarron.net	Original art and prints inspired by vintage technology	"I create original art inspired by vintage technology, especially the Apple 2 computer. I will have original paintings, screen prints and drawings. I will also have reproduction prints of my work as well."
211	L16	Lilia Roo and Raezinus		PowerPC Oddware	"When we think of PowerPC operating systems, we usually think of Mac OS and Unix, but there is more than that. Come and play around with a Power Macintosh 8600 running BeOS, a PReP-based PowerPC system running Windows NT 4.0 natively, and even a stable installation Apple's failed Copland project."
212	Z03/Z04/Z05	Gunner5	https://MDCon.Live	MDCon	"MDCon is dedicated to preserving and promoting MiniDisc technology through engaging, in-person gatherings around the world."
213	T17	Tattler Solutions	www.retromodem.com	WiFi Retromodem	Modern WiFi replacements for vintage Hayes and US Robotics modems. We will also be showing our mini VT100 emulator.
214	E09	Skye Janis		An Abbreviated History of FM Synthesis	"Displays and demos of various FM synthesis hardware and software ranging from the mid-80s through the 90s, focusing on FMs relationship with home computers, games, and popular music throughout its lifetime."
216	G18/G19/G20	Avery Grade		The Fantastic World of Early Japanese TV and TV Scrambling	Take a step back in time and see how wild it was to be in the 60's and have color TV. Or even see the worlds first portable tape deck. Or maybe even the unreleased version of a TV scrambling service in the Chicago area
217	Y01	Inverse Phase / Bloop Museum	https://inversephase.bandcamp.com	"Chiptunes, Museums, and other weird stuff, oh my?"	"It turns out Inverse Phase does chiptunes but also runs a thing called Bloop Museum, and he's doing something for both entities at the table. Visit his new location in Pittsburgh!"
218	R12	DDI	http://www.sys64738.net	C64 Cartridge Projects & Retro Sales	C64 Cartridge Projects & Retro Sales
219	C20	Joe Marlin		It's Just a PC	It's Just a PC celebrates an array of the various video game consoles that have reclaimed their computerhood thanks to the various psychotic persons who have ported some form of *nix OS to them over the years.
220	D09/D10	Jack Rubin	www.computerarium.org	Old And In The Way	"Old guys, old computers - except for Kyle"
221	M04	Superstar64	Youtube.com/@superstar64	Superstar's Collection	I'll have a live demo of some of my favorite systems from the horde.
222	N12/N13	James Wilkinson (Slor)		Eight is Enough	A veritable melting pot of 8-bit micros.
223	T01/T24	AmericanRetro.Shop	https://americanretro.shop/	Home of Retro Chip Tester Professional - The Swiss Army Knife for Retroist from Germany Proudly Made In USA!	"Retro Chip Tester Pro, The MechBoard64, The MechBoardZX, Commodore & ZX Spectrum Products."
224	F18	Jayden Sparks		Vintage Mechanical Keyboard Showcase for sale and demo.	A show case of Retro Mechanical Keyboards. From the Model M to Cherry MX.
226	M19	joshua stein	https://jcs.org/	Classic Macintosh software development	Software developed on and for classic Macintosh computers
227	P04/P05	Jefferey L. Wilson	s100projects.com	S100Projects / CompuPro 816 Multiuser S-100	"New S-100 Systems. Motherboards, and S-100 Cards, plus a 1980s Multiuser CompuPro 816 running Digital Research's Concurrent-DOS 8/16 with 6 User Terminals running multiuser Paku (Pacman). Come play against Paku as a Ghost!"
228	U08/U09	Vintage Computer Federation	vcfed.org	Vintage Computer Federation around the world	"VCF will display retro reproductions to play, sell t-shirs and share information about our shows, forum, museum and other events."
229	N22/N23	i80386sx	i80386sx.com	Compaq laptops of the 1990s	I’ll be showing off Compaq laptops from my collection. I’ll be selling accessories for select Compaq laptops.
230	Z01/Z02	Jim Woznicki		Vintage Computing and Gaming -- Most for Sale!	"Lots for sale! Amiga 2000, Bally Home Arcade, Vintage Parts and Accy's, Service Manuals and Magazines and whatever else I can dig out and dust off in time for the show!"
231	M13/M14/M15/M16	Silicon Graphics User Group / Irixnet	https://forums.sgi.sh/index.php	Experiencing Reality With Silicon Graphics	Explore reality with the Onyx2 superworkstation: an Interactive display with a cyber world to explore. Also come see the strange x86 based Visual Workstations and Octane2 with Dials and Buttons!
232	J01/J02/J03/J04/J05	Shadytel Midwest & Friends	http://www.dms-100.net/vcfmw	Shadytel Midwest Central Office	"Our exhibit not only provides the telephone infrastructure for the show, it is a demonstration of telephone equipment from all eras that were used in business and central office telephone systems."
233	I12	Joe's Computer Museum	https://jcm-1.com	Joe's Computer Museum!	"Come by and see all the cool things available from Joe's Computer Museum, including BlueSCSI, PicoGUS and more!"
234	S01/S22	N9TAX Retro Lab	https://www.youtube.com/@N9TAXRetroLab	Computer communications in the 80's	"Homelab telephony on a single cisco router with dialup PPP internet, BBS and phone to phone voice calls. Also radio packett between retro computers. Sales of retro game systems and 3d printed large retro processors."
236	P18	John Riney III	https://8bithe.art	The 40th Anniversary of the Commodore 128	"Released in 1985, Commodore’s last 8-bit computer was the final 6502-based mile marker on the road to the 16-bit Amiga. Perhaps less understood than its predecessors and successors, the 128 is still a fascinating machine with an equally fascinating history. I’ll be exhibiting all major versions (the original, the never-released-in-the-US C128D, and the C128DCR), as well as reproduction logic boards, expansions, and other goodies."
237	N14/N15	John Buell		Fifty Years of Atari at Sears	"Celebrating fifty years with unique and exclusive products made by Atari for Sears Roebuck, and listed in the catalogs between 1975-1995"
238	M02/M03	John-Robert La Porta		1990s Macintosh Games & Network Games	"A rotating collection of classic Macintosh games available to play. Come try out flight simulators from the 90s, including Hellcats over the Pacific and F/A-18 Hornet. Play Marathon, the game Bungie was famous for in the Mac community before Halo was ever thought of. Ever played Endless Sky? Escape Velocity was the start of it all. This will be interspersed with play times of some network games (Marathon, Hornet, SuperMazeWars, Bolo, and possibly a few more) available for play across five networked computers. Come check the booth for a time schedule of the games!"
239	B13/B14/B15	Jonathan Herr		Just selling PC hardware and other misc tech	Just selling PC hardware and other misc tech
240	L11	Jon Obst	https://www.youtube.com/@jonobst	Jon Obst on YouTube	I'll be bringing some of my collection as featured in my videos for everyone to play with!
241	T14/T15	Wade Meyer		Network Gear	"A mix of networking gear including switches, rack, cables, and rack accessories. We also have laptops and computer parts and gear."
243	U07	Millenial Computing		"386/486 laptops, 00's gaming, Video game hardware / CRT's"	Vintage tech! 80's and newer PC and console gaming. Items for sale!
244	D08	John Orwin		UNIX Workstations	"UNIX workstations, Sun, HP, IBM, SGI (details TBD)"
246	C10	John Burch		Old Junk - Retired - Clearing the shop	"I'm retired. My shop needs to be liquidated. Lots of old stuff - Rad Shack, Kaypro, Toshiba, Heathkit, Sinclair, etc."
248	C16/C17	June Tate-Gans	https://nybblesandbytes.net/	VCF High presented by Nybbles and Bytes	"Join the premier 1990s technical high school computer class at VCF High School, presented by Nybbles and Bytes! Learn Turbo Pascal programming in a hands-on classroom environment, and pick up vital general computer and networking skills necessary to survive in today's fast paced vintage computer environment. Join June's live Novell Network classroom running Windows 98SE, learn a few things, and participate in a Novell SNIPES tournament!"
249	I11	Jay Graham - BlueSCSI	bluescsi.com	"Apple II, Mac, and BlueSCSI"	I am an authorized BlueSCSI Seller and will have some interesting Apple II and Old Macintosh exihibts and items for sale.
250	B06/B07/B08	The Osborne Computer Group	https://www.facebook.com/groups/690000664701397	Osborne Computers	We have some super rare Osborne Computers from the Vixen to the Dutch School Kit Computer
251	S05	AwesomeDolphin	https://github.com/AwesomeDolphin/MegaAGI/	MegaAGI + more!	"Come see Sierra's AGI games (well, at least one game), running on the Mega65. A brand new interpreter, especially for the Mega65! Also, QuantumLink Reloaded, and more exotic Commodore hardware."
252	S14/S15	Ken Van Mersbergen		Get ready for a blast from the past—I’ll be premiering the never-before-seen VIC-20 version of Moonsweeper by Imagic!	"Come check out the Coleco ADAM in action, witness the exclusive premiere of a never-before-seen game on the Commodore VIC-20, and browse a treasure trove of rare and retro items for sale! Don’t miss it!"
253	P13	Jesus Eric	https://www.thingiverse.com/jesus_eric/	CBM SX 64 Ultimax	A Tribute to the Worlds First Color Portable Computer
254	S18/S19	kokoscript	https://kokoscript.com	System Sampler II	Attempting to fit as many CPU architectures into one space as I can.
255	T11	Steve Krippner		Tandy 1000 EX/HX 3-in-1 Adapter & IBM PCjr to ATX Power Adapter	"See the Tandy 1000 EX/HX 3-in-1 Adapter - get 1MB of memory, a XT-IDE interface, and a serial port on your Tandy 1000 EX or HX! Also, see the IBM PCjr to ATX Power Adapter - run your PCjr from an ATX power supply!"
257	G15/G16/G17	Genericable	genericable.com	Genericable	"Genericable is back, showing you behind the screens from your local cable TV company. You'll see how The Weather Channel showed your local forecast, how Prevue Guide showed you what's on, how the emergency alert system kept you safe, and more!"
258	E06	Wafflenet	https://wafflenet.com	The OPL Archive	"The OPL Archive is a tribute to the Yamaha OPL series FM synthesis chips and their historic significance within the PC music scene via the AdLib and Sound Blaster cards. Come see demonstrations of OPL2/OPL3 music, explanations of how FM synthesis works, and new innovations like OPL3 on 68k Macintosh, made possible by accessing the unused chip on the Pro AudioSpectrum 16 NuBus card!"
259	U01/U16/U17/U18	Command Center Labs		"GM Computers, 16/32 Bit Atari and Amiga Machines, Plus SGI, IBM, Altair"	"A collection of rare late-era Atari and Amiga 16/32-bit machines as well as a variety of other machines ranging from Altair, IBM, to SGI."
260	T03/T04	Lee Hart	https://www.sunrise-ev.com	What can you do with an 1802?	"various microcomputer kits using the 1802, 6502, 8080, and Z80 microprocessors"
261	D03	Beehive Bit Bunker	https://ComputerGraphicsMuseum.org	Beehive Terminals	Come see a variety of terminals made by Beehive!
262	R21	Lige Hensley		Commodore stuff	Commodore stuff
263	M11/M12	Lori's Lost Treasures		80's/90's/Y2K computers and small gadgets	"Our booth is selling some 90's/Y2K laptops, some 90's desktops, and a few 80's workstations as well as other assorted gizmos and junk. Come try the machines, and if you like them, buy them!"
264	L22	Mac84	www.mac84.net	Mac84 Shenanigans	Exciting Macintosh systems and historical artifacts and more!
